219480 177    219480    0    0   800    450      0
220701 178    220701    0    0   850    450      0
221951 179    221951    0    0   950    200      0
223731 180    223731    1    0  1500    325      0
225530 181    225530    0    0  1750    300      0
226591 182    226591    0    0   650    250      0
227929 183    227929    0    0  1200    325      0
229094 184    229094    0    0   700    600      0
230229 185    230229    0    0   850    500      0
230915 186    230915   14    0   750    900   1125
232128 187    232128    0    0   850    350      0
232711 188    232711   17    0   850   1050    900
234004 189    234004    0    0  1300    400      0
235640 190    235640    0    0  1000    350      0
236783 191    236783    0    0   850    450      0
238080 192    238080    0    0   950     50      0
239389 193    239389    0    0   900    625      0
240590 194    240590    0    0   800    300      0
242378 195    242378    0    0  1300    300      0
244180 196    244180    9    0  1750    350      0
245710 197    245710    0    0  1100    100      0
247496 198    247496    0    0  1900   1875    400
248711 199    248711    0    0   700    450      0
250492 200    250492    1    0  1300    475      0
252279 201    252279    1    0  1650    475      0
254075 202    254075   36    0  2600   2350    475
255540 203    255540    0    0  1000    150      0
256736 204    256736    0    0   850    300      0
258069 205    258069    0    0   950    500      0
259258 206    259258    0    0   800    250      0
260354 207    260354    5    0   850    800    725
262147 208    262147    2    0  1150    325      0
263422 209    263422    0    0   600    550      0
264735 210    264735    0    0   900      0      0
266079 211    266079    0    0   850    650      0
267410 212    267410    0    0   800    650      0
268878 213    268878    1    0   950     50      0
270226 214    270226    0    0   850      0      0
270694 215    270694   12    0   800    700    725
271880 216    271880    9    0  1200     50      0
273672 217    273672   15    0   750      0      0
274922 218    274922    0    0   750    150      0
276069 219    276069    0    0   750     50      0
277591 220    277591    0    0  1300    350      0
278570 221    278570   10    0   700   1100    900
279815 222    279815    0    0   600    200      0
280957 223    280957    1    0   900    350      0
282201 224    282201    0    0   650    250      0
283875 225    283875    0    0   900    200      0
285672 226    285672    4    0  1550    300      0
287475 227    287475   23    0  2000    325      0
288097 228    288097   18    0  1000   1000    900
289328 229    289328    0    0  1000      0      0
291123 230    291123    0    0  1150    700      0
292933 231    292933    0    0  1850   1250      0
294594 232    294594    0    0  1050     50      0
295839 233    295839    0    0   600      0      0
297019 234    297019    0    0   650    350      0
298823 235    298823    3    0  1250    900      0
299998 236    299998    0    0   650    500      0
301805 237    301805    1    0  1250    300      0
303613 238    303613    5    0  2000    600      0
305411 239    305411    0    0   950    550      0
306583 240    306583    0    0   750    450      0
307881 241    307881    0    0   600    450      0
309200 242    309200    0    0  1050     50      0
310463 243    310463    0    0   950    500      0
312264 244    312264    0    0   800    250      0
313341 245    313341    4    0   850    900    725
315146 246    315146    1    0  1950    850      0
316081 247    316081   16    0   950   1300    900
317882 248    317882    2    0  1450    550      0
319682 249    319682    1    0  1800     50      0
321238 250    321238    0    0  1000    350      0
323031 251    323031    5    0  1750    350      0
324841 252    324841    0    0   750    300      0
326054 253    326054   15    0   750      0      0
327555 254    327555    0    0   850      0      0
329368 255    329368    0    0  1000    550      0
330855 256    330855    0    0   850    300      0
332065 257    332065    0    0   650    150      0
333865 258    333865    8    0  2000   1425      0
335263 259    335263    0    0  1300    350      0
337067 260    337067    0    0  1950    750      0
337817 261    337817   14    0   700   1150   1125
339070 262    339070   12    0   600      0      0
340307 263    340307    0    0   750    300      0
342126 264    342126    0    0  1100    300      0
343824 265    343824    0    0  1000    475      0
345643 266    345643    0    0   900    150      0
347424 267    347424    0    0  1150      0      0
348949 268    348949    0    0   700    150      0
350767 269    350767    1    0  1850    600      0
351933 270    351933    0    0  1050    550      0
353168 271    353168    1    0  1050      0      0
354986 272    354986    0    0  1200    625      0
356161 273    356161    0    0   700    200      0
357731 274    357731    0    0  1050      0      0
359531 275    359531    8    0  1900    775      0
361051 276    361051    0    0  1100    150      0
362858 277    362858    4    0  1200    325      0
364140 278    364140    0    0  1100    450      0
365463 279    365463    7    0  1850    625      0
367279 280    367279   22    0  1950    200      0
369082 281    369082    3    0  1100    225      0
370594 282    370594    0    0  1150    350      0
371273 283    371273   14    0   950   1150    900
373079 284    373079    5    0  1350    675      0
374536 285    374536    0    0  1250      0      0
375863 286    375863    1    0   750    100      0
377679 287    377679    3    0  1050    450      0
379505 288    379505    0    0  1700   1225      0
380987 289    380987    0    0  1250     50      0
382212 290    382212    0    0   600    200      0
383371 291    383371    0    0   750    300      0
385192 292    385192    1    0  1900    900      0
